,Category,    Threat Event ,    Vulnerability ,    Asset ,    Consequence
57,General,  Unauthorized person accesses secure area,    Lack of biometric controls,    Server room,    Physically steals sensitive hardware.
58,General,  Attacker exploits weak password policy,    Lack of strong password enforcement,    Internal system,    Gains unauthorized access.
59,General,  Malware delivered via spear-phishing,    No sandboxing,    Corporate email system,    Infects internal systems.
60,General,  Attacker brute forces wireless network,    Weak encryption,    Corporate Wi-Fi,    Gains unauthorized network access.
61,General,  Employee leaves workstation unlocked,    No session timeout policy,    Employee workstation,    Allows unauthorized access.
62,General,  External actor uses phishing to steal login credentials,    Lack of training,    Employee email,    Gains access to sensitive data.
63,General,  Insider alters SCADA configurations,    No change control,    SCADA system,    Disrupts critical infrastructure operations.
64,General,  Attacker performs directory traversal attack,    No input validation,    Web server,    Gains access to restricted files.
65,General,  Unauthorized employee uses admin privileges,    Poor privilege management,    HR database,    Changes employee records.
66,General,  Attacker exploits weak authentication,    Insecure login process,    Customer portal,    Steals user credentials.
67,General,  Insider installs unauthorized applications,    Lack of software controls,    Workstation,    Introduces malware.
68,General,  Attacker uses known vulnerability,    No patching,    Web application,    Gains full control of the system.
69,General,  Employee opens phishing email,    Lack of user awareness,    Corporate email system,    Leads to malware infection.
70,General,  Insider steals sensitive documents,    No document control,    File server,    Sells corporate secrets.
71,General,  Attacker exploits buffer overflow,    No secure coding practices,    Application server,    Executes arbitrary code.
72,General,  Unauthorized access through open firewall port,    Lack of firewall rules,    Corporate network,    Compromises internal systems.
73,General,  Insider deletes security logs,    No log retention policy,    Security system,    Erases evidence of unauthorized actions.
74,General,  Attacker performs brute-force attack,    Weak password policy,    Corporate VPN,    Gains access to internal resources.
75,General,  Employee installs unapproved browser plugin,    Lack of software restrictions,    Workstation,    Introduces vulnerabilities.
76,General,  Attacker manipulates unencrypted traffic,    No TLS encryption,    Corporate website,    Alters sensitive transactions.
77,General,  Unauthorized employee changes system configurations,    No access control,    Network device,    Disrupts network connectivity.
78,General,  Attacker performs spear-phishing,    Lack of awareness training,    Email system,    Gains user credentials.
79,General,  Insider transfers sensitive data to personal device,    No DLP,    File server,    Leads to data leakage.
80,General,  Attacker performs man-in-the-middle attack,    No VPN,    Remote worker’s connection,    Intercepts corporate data.
81,General,  Unauthorized access through weak password,    No multi-factor authentication,    Corporate application,    Gains administrative access.
82,General,  Insider modifies financial records,    Lack of audit trail,    Finance system,    Results in fraudulent reports.
83,General,  Attacker installs backdoor,    No endpoint monitoring,    Server,    Gains persistent access to corporate network.
84,General,  Employee misconfigures security settings,    No configuration management,    Application server,    Introduces security vulnerabilities.
85,General,  Attacker exploits vulnerability in outdated software,    No patching,    Finance application,    Steals customer data.
86,General,  Insider accesses confidential information,    No role-based access control,    HR system,    Exposes employee data.
87,General,  Attacker sends phishing email,    No email security,    Corporate inbox,    Infects machine with malware.
88,General,  Unauthorized employee installs malware,    Lack of security controls,    Workstation,    Compromises internal network.
89,General,  Attacker manipulates network traffic,    No network encryption,    Corporate network,    Intercepts sensitive data.
90,General,  Insider leaks sensitive information,    No data monitoring,    Employee workstation,    Breach of confidential agreements.
91,General,  Attacker uses stolen credentials,    No password management,    Web portal,    Gains unauthorized access.
92,General,  Employee shares unencrypted sensitive files,    No encryption policy,    File sharing service,    Exposes confidential data.
93,General,  Attacker installs ransomware,    No backup strategy,    Server,    Encrypts critical files and demands ransom.
94,General,  Insider modifies access control settings,    No privilege monitoring,    File server,    Grants unauthorized access to files.
95,General,  Attacker bypasses firewall,    Misconfigured firewall,    Corporate network,    Gains access to internal systems.
96,General,  Employee downloads unapproved app,    No application control,    Workstation,    Introduces malware to the network.
97,General,  Attacker performs SQL injection,    No input validation,    Corporate web application,    Exfiltrates customer data.
98,General,  Insider deletes important records,    Lack of file backups,    Database system,    Causes permanent data loss.
99,General,  Attacker uses default credentials,    No password policy,    IoT device,    Gains control over corporate environment.
100,General,  Unauthorized access to sensitive documents,    No encryption,    File server,    Exposes confidential documents.
101,General,  Attacker gains access via social engineering,    No security awareness training,    Corporate network,    Compromises sensitive information.
102,General,  Insider misconfigures server,    No change management,    Web server,    Causes server downtime.
103,General,  Attacker exploits zero-day vulnerability,    No patch management,    SCADA system,    Gains control over industrial processes.
104,General,  Employee accesses restricted areas,    Lack of physical security,    Server room,    Steals sensitive hardware.
105,General,  Attacker uses phishing to steal financial credentials,    No MFA,    Online banking system,    Executes unauthorized transactions.
106,General,  Insider manipulates patient records,    No access controls,    Healthcare database,    Alters critical medical information.
107,General,  Attacker sends malicious email attachment,    No email filtering,    Employee inbox,    Infects machine with malware.
108,General,  Unauthorized employee uses elevated privileges,    No privilege management,    Corporate database,    Deletes sensitive records.
109,General,  Attacker performs denial-of-service attack,    No DDoS mitigation,    Corporate website,    Disrupts online services.
110,General,  Insider installs unauthorized software,    Lack of software whitelisting,    Workstation,    Introduces vulnerabilities.
111,General,  Attacker exploits weak authentication,    No password complexity,    Corporate VPN,    Gains unauthorized access.
112,General,  Insider shares sensitive business data,    Lack of monitoring,    Corporate network,    Exposes corporate secrets.
113,General,  Attacker gains access to unsecured server,    No access control,    Server farm,    Compromises entire infrastructure.
114,General,  Insider accesses backup system,    No access restrictions,    Backup server,    Deletes critical backups.
115,General,  Attacker installs rootkit,    No endpoint detection,    Workstation,    Gains persistent access to the system.
116,General,  Employee misuses administrative privileges,    No privilege monitoring,    Corporate database,    Alters sensitive records.
117,General,  Attacker compromises wireless network,    Weak Wi-Fi security,    Corporate network,    Gains unauthorized access.
118,General,  Insider leaks sensitive company data,    No data loss prevention,    Corporate network,    Breach of confidentiality.
119,General,  Attacker brute-forces weak login credentials,    No MFA,    Web portal,    Gains unauthorized access.
120,General,  Attacker exploits an API vulnerability,    No input validation,    Public API,    Gains access to sensitive data.
121,General,  Employee uses an unapproved cloud service,    No cloud usage policy,    Corporate data,    Exposes confidential information.
122,General,  Attacker installs a keylogger,    Lack of endpoint detection,    Employee workstation,    Steals user credentials.
123,General,  Insider misuses encryption keys,    Poor key management,    Encryption service,    Decrypts sensitive data.
124,General,  Attacker gains access via social engineering,    Lack of user training,    Corporate system,    Executes malicious commands.
125,General,  Employee shares access credentials,    No access control policy,    Internal system,    Unauthorized third-party access.
126,General,  Attacker exploits unpatched VPN vulnerability,    No VPN updates,    Remote access system,    Gains network access.
127,General,  Insider alters configuration files,    No configuration backups,    Application server,    Breaks production systems.
128,General,  Attacker uses weak password to access system,    No password expiration,    Corporate account,    Steals sensitive information.
129,General,  Employee accidentally deletes important data,    No version control,    File server,    Causes data loss.
130,General,  Attacker performs ransomware attack,    Lack of anti-ransomware solution,    Server,    Encrypts critical files.
131,General,  Unauthorized employee installs backdoor,    No software controls,    Workstation,    Gains persistent access.
132,General,  Attacker uses default credentials,    Lack of security audit,    IoT device,    Controls connected devices remotely.
133,General,  Insider modifies audit logs,    Lack of log integrity,    Security system,    Hides unauthorized actions.
134,General,  Attacker exploits unpatched OS vulnerability,    Lack of patch management,    Server,    Gains administrative access.
135,General,  Employee downloads malicious software,    No content filtering,    Workstation,    Compromises internal network.
136,General,  Attacker installs rootkit on a system,    No endpoint monitoring,    Employee laptop,    Gains full control of system.
137,General,  Insider uses weak encryption to protect sensitive files,    No encryption policy,    File server,    Exposes confidential data.
138,General,  Attacker redirects traffic via DNS spoofing,    Lack of DNS security,    Corporate website,    Phishes user credentials.
139,General,  Employee installs unauthorized remote desktop tool,    No monitoring controls,    Workstation,    Gains unauthorized access.
140,General,  Attacker uses social engineering to gain access,    Lack of employee awareness,    Corporate building,    Steals physical equipment.
141,General,  Insider shares sensitive project files,    No data classification policy,    File sharing service,    Exposes critical business information.
142,General,  Attacker exploits misconfigured database,    No security configuration reviews,    Database server,    Steals customer data.
143,General,  Employee downloads unapproved software from the internet,    No software restriction policy,    Workstation,    Introduces malware.
144,General,  Attacker performs cross-site scripting (XSS) attack,    No web application security,    Corporate website,    Executes malicious code on users’ browsers.
145,General,  Insider deletes critical system logs,    Lack of log backups,    Security system,    Hides evidence of malicious actions.
146,General,  Attacker leverages weak SSL configuration,    Lack of SSL/TLS best practices,    Web application,    Eavesdrops on communication.
147,General,  Employee opens a malicious email attachment,    No email security,    Corporate email system,    Installs malware.
148,General,  Attacker exploits an unpatched open-source library,    No third-party software updates,    Application server,    Gains control over the system.
149,General,  Insider accesses sensitive financial records,    Lack of access control,    Finance system,    Commits fraud.
150,General,  Attacker uses spear-phishing to gain access to VPN credentials,    No multi-factor authentication,    Remote access system,    Compromises internal network.
151,General,  Employee misuses backup tapes,    Lack of physical security,    Backup storage,    Leads to data leakage.
152,General,  Attacker performs an advanced persistent threat (APT) attack,    No network monitoring,    Corporate network,    Gains prolonged access.
153,General,  Unauthorized user accesses sensitive HR data,    No role-based access control,    HR system,    Exposes employee information.
154,General,  Attacker performs brute-force attack on admin account,    Weak password policy,    Corporate system,    Gains administrative privileges.
155,General,  Insider manipulates SCADA systems,    No access monitoring,    SCADA system,    Disrupts industrial processes.
156,General,  Attacker exploits zero-day vulnerability in third-party software,    Lack of vulnerability management,    Application server,    Gains unauthorized access.
157,General,  Employee sends unencrypted sensitive data,    No encryption enforcement,    Email system,    Leads to data leakage.
158,General,  Attacker uses stolen encryption keys,    Lack of key rotation policy,    File storage,    Decrypts sensitive information.
159,General,  Insider disables critical security controls,    Lack of access logging,    Security system,    Lowers security posture.
160,General,  Attacker exploits misconfigured cloud storage,    No cloud security policies,    Cloud platform,    Exposes customer data.
161,General,  Employee accesses restricted areas without permission,    No physical security controls,    Server room,    Steals sensitive hardware.
162,General,  Attacker uses publicly available exploit to compromise server,    No patching,    Application server,    Gains full control of the server.
163,General,  Insider shares internal documents through an unapproved channel,    No data loss prevention (DLP),    File sharing service,    Leaks confidential information.
164,General,  Attacker performs a watering hole attack,    No web filtering,    Corporate network,    Compromises employee workstations.
165,General,  Employee installs unauthorized software on a critical server,    No software whitelisting,    Server,    Introduces vulnerabilities.
166,General,  Attacker exploits vulnerable API,    No API security,    Application server,    Gains access to sensitive data.
167,General,  Insider accesses financial records to manipulate reports,    No segregation of duties,    Finance system,    Commits financial fraud.
168,General,  Attacker installs ransomware through spear-phishing,    No anti-ransomware protection,    Workstation,    Encrypts corporate files and demands ransom.
169,General,  Employee misconfigures a firewall,    Lack of configuration validation,    Firewall system,    Allows unauthorized access.
170,General,  Attacker performs distributed denial-of-service (DDoS) attack,    No DDoS mitigation,    Corporate website,    Disrupts online services.
171,General,  Insider installs malicious software on corporate servers,    No endpoint protection,    Server farm,    Gains persistent access.
172,General,  Attacker uses social engineering to compromise employee credentials,    No multi-factor authentication,    Corporate network,    Gains unauthorized access.
173,General,  Employee shares sensitive project data via unsecured email,    No data classification,    Email system,    Exposes confidential business information.
174,General,  Attacker performs SQL injection attack,    No input validation,    Corporate web application,    Steals sensitive data.
175,General,  Insider deletes critical backups,    No access control,    Backup system,    Causes data loss.
176,General,  Attacker intercepts unencrypted communication,    No encryption,    Corporate network,    Gains sensitive business information.
177,General,  Employee installs unauthorized browser extensions,    Lack of browser security,    Workstation,    Compromises internal security.
178,General,  Attacker exploits misconfigured server settings,    No server hardening,    Web server,    Gains administrative control.
179,General,  Insider shares encryption keys with unauthorized third parties,    No key management,    Encryption system,    Leads to data compromise.
180,General,  Attacker compromises wireless network through rogue access point,    No Wi-Fi security,    Corporate network,    Gains unauthorized network access.
181,General,  Employee transfers sensitive data to personal cloud storage,    No cloud DLP,    Cloud system,    Exposes corporate data.
182,General,  Attacker uses phishing email to steal credentials,    Lack of email filtering,    Corporate inbox,    Compromises sensitive accounts.
183,General,  Insider accesses restricted database using admin privileges,    No privilege control,    Database system,    Steals confidential records.
184,General,  Attacker installs malware on a production server,    Lack of antivirus protection,    Server,    Gains persistent control.
185,General,  Employee shares sensitive project files through an unsecured channel,    No data encryption,    File sharing system,    Exposes confidential business data.
186,General,  Attacker exploits unpatched software vulnerabilities,    No patching schedule,    Server farm,    Gains unauthorized access.
187,General,  Insider modifies system configuration to disable security controls,    Lack of monitoring,    Security system,    Lowers security posture.
188,General,  Attacker gains access to network through phishing,    No user training,    Corporate email system,    Executes unauthorized commands.
189,General,  Employee misconfigures security settings on cloud infrastructure,    No cloud security policy,    Cloud platform,    Exposes sensitive business data.
190,Devops pipeline,  Attacker exploits unpatched CI/CD tool,    Lack of patch management,    DevOps pipeline,    Compromises entire deployment process.
191,Devops pipeline,  Unauthorized developer pushes code directly to production,    No access control,    Production system,    Leads to production failure.
192,Devops pipeline,  Insider inserts malicious code in pipeline,    Lack of code review,    DevOps environment,    Results in compromised application.
193,Devops pipeline,  External attacker exploits misconfigured Jenkins server,    No security hardening,    DevOps tool,    Gains access to build artifacts.
194,Devops pipeline,  Developer uses outdated library in pipeline,    Lack of version control,    Production system,    Introduces vulnerabilities in production.
195,Devops pipeline,  Unauthorized access to production secrets in pipeline,    Poor secret management,    DevOps pipeline,    Exposes sensitive API keys.
196,Devops pipeline,  Attacker exploits vulnerability in container image,    No image scanning,    Container registry,    Introduces malware in production.
197,Devops pipeline,  Insider bypasses approval process,    No security gate in pipeline,    DevOps pipeline,    Deploys untested code to production.
198,Devops pipeline,  Attacker gains access to unprotected CI/CD logs,    No logging security,    Pipeline server,    Steals sensitive configuration data.
199,Devops pipeline,  Developer uses unapproved third-party libraries,    No dependency management,    DevOps environment,    Exposes production to security risks.
200,Devops pipeline,  Production code pushed to development branch,    Lack of branch control,    DevOps pipeline,    Causes environment instability.
201,Devops pipeline,  Attacker modifies build scripts,    No script integrity checks,    DevOps pipeline,    Deploys backdoored application to production.
202,Devops pipeline,  Unauthorized user accesses pipeline environment,    Lack of role-based access control,    DevOps tools,    Modifies production settings.
203,Devops pipeline,  Compromised pipeline artifact storage,    No encryption,    DevOps environment,    Exposes production builds to manipulation.
204,Devops pipeline,  Attacker exploits exposed pipeline API,    Poor API security,    DevOps pipeline,    Gains unauthorized control over deployment process.
205,Devops pipeline,  Insider deploys unreviewed code changes,    No peer review enforcement,    DevOps environment,    Breaks production.
206,Devops pipeline,  External attacker gains access to source code repo,    No IP whitelisting,    DevOps pipeline,    Steals proprietary code.
207,Devops pipeline,  Unauthorized access to pipeline orchestration tool,    No multi-factor authentication,    CI/CD system,    Gains control over deployments.
208,Devops pipeline,  Developer bypasses security testing,    Lack of automated security checks,    DevOps pipeline,    Introduces vulnerabilities in production.
209,Devops pipeline,  Unapproved external vendor integrates with pipeline,    No vendor assessment,    DevOps environment,    Compromises pipeline security.
210,Devops pipeline,  Outdated testing tools in pipeline,    Lack of toolchain updates,    DevOps pipeline,    Fails to identify security issues.
211,Devops pipeline,  Insider shares deployment scripts with external parties,    No confidentiality controls,    DevOps environment,    Exposes sensitive business logic.
212,Devops pipeline,  Attackers exploit vulnerable third-party plugins in pipeline,    No plugin vetting,    CI/CD tool,    Gains access to production systems.
213,Devops pipeline,  Insider deploys code from compromised GitHub repo,    No integrity verification,    DevOps environment,    Deploys backdoor to production.
214,Devops pipeline,  External developer accesses production database via pipeline,    No production isolation,    DevOps environment,    Exposes sensitive data.
215,Devops pipeline,  Production data used in test environments,    No data masking,    DevOps pipeline,    Leads to sensitive data leakage.
216,Devops pipeline,  Attacker intercepts unencrypted pipeline communications,    No encryption,    DevOps environment,    Gains access to credentials.
217,Devops pipeline,  Unauthorized access to automated deployment keys,    No key rotation,    DevOps pipeline,    Compromises production environment.
218,Devops pipeline,  Developer pushes untested feature branch to production,    No feature flagging,    DevOps pipeline,    Breaks production services.
219,Devops pipeline,  Insider manipulates pipeline to deploy malicious updates,    No pipeline monitoring,    CI/CD system,    Compromises production systems.
220,Devops pipeline,  Unpatched pipeline orchestration server,    No vulnerability management,    DevOps tools,    Exposes production environment to exploits.
221,Devops pipeline,  Developer uses insecure CI/CD runner,    Lack of isolation,    DevOps pipeline,    Compromises build environment.
222,Devops pipeline,  Misconfigured pipeline logging,    No logging policy,    DevOps tools,    Logs sensitive production data.
223,Devops pipeline,  Insider deploys malicious container image,    No container security scanning,    DevOps pipeline,    Introduces security vulnerabilities.
224,Devops pipeline,  External attack through compromised GitHub Actions,    No security checks on external actions,    DevOps environment,    Compromises production codebase.
225,Devops pipeline,  Exposed pipeline configuration file,    No access control,    DevOps environment,    Reveals sensitive deployment information.
226,Devops pipeline,  Attacker modifies build pipeline environment variables,    Lack of variable integrity checks,    DevOps pipeline,    Causes faulty deployments.
227,Devops pipeline,  Insider runs destructive script in CI/CD pipeline,    No execution control,    DevOps tools,    Deletes critical production data.
228,Devops pipeline,  Lack of rollback mechanisms in pipeline,    No version control,    DevOps environment,    Prevents recovery from bad deployments.
229,Devops pipeline,  Attacker uses vulnerable CI/CD plugin,    No plugin security updates,    DevOps pipeline,    Gains unauthorized access to production.
230,Devops pipeline,  Insider deletes pipeline history logs,    No log retention policy,    CI/CD system,    Hides malicious activity.
231,Devops pipeline,  External attacker exploits weak access control to pipeline secrets,    No secret rotation,    DevOps environment,    Exposes sensitive keys.
232,Devops pipeline,  Insider manipulates pipeline audit logs,    Lack of logging integrity,    DevOps environment,    Obscures malicious deployments.
233,Devops pipeline,  External attacker modifies YAML build configuration,    No integrity verification,    DevOps pipeline,    Deploys altered code to production.
234,Devops pipeline,  Unencrypted sensitive environment variables in pipeline,    No encryption policy,    CI/CD environment,    Leaks production credentials.
235,Devops pipeline,  Attacker manipulates automated testing process,    No testing integrity checks,    DevOps pipeline,    Fails to detect security vulnerabilities.
236,Devops pipeline,  Insider uses production pipeline to run crypto mining scripts,    Lack of resource monitoring,    DevOps environment,    Misuses production resources.
237,Devops pipeline,  External attack through compromised SSH keys,    No key protection,    DevOps pipeline,    Gains unauthorized access to production systems.
238,Devops pipeline,  Attacker exploits misconfigured cloud pipeline tool,    Lack of cloud security configuration,    DevOps environment,    Compromises cloud production services.
239,Devops pipeline,  Insider bypasses deployment approval process,    No approval gate,    DevOps pipeline,    Deploys insecure code to production.
240,Devops pipeline,  Attacker exploits unprotected S3 buckets in pipeline,    No access control on cloud storage,    DevOps environment,    Exposes sensitive production data.
241,Devops pipeline,  Developer accesses production database through pipeline,    No database access segregation,    DevOps pipeline,    Exposes customer data.
242,Devops pipeline,  Attacker leverages cross-account access in cloud pipeline,    No access restrictions,    DevOps pipeline,    Gains unauthorized control over deployments.
243,Devops pipeline,  Insider manipulates automated deployment configuration,    No pipeline integrity checks,    CI/CD tools,    Deploys malicious configuration to production.
244,Devops pipeline,  External attacker modifies container registry,    No registry security policy,    DevOps pipeline,    Deploys compromised containers.
245,Devops pipeline,  Insider shares pipeline credentials with external vendors,    No credential management,    DevOps environment,    Exposes sensitive production secrets.
246,Devops pipeline,  Attacker exploits lack of MFA in pipeline login,    No multi-factor authentication,    DevOps tools,    Gains unauthorized access to deployment processes.
247,Devops pipeline,  Insider injects malicious code into automated testing scripts,    No code review policy,    DevOps pipeline,    Breaks production functionality.
248,Devops pipeline,  Unprotected CI/CD pipelines exposed to the internet,    Lack of network security controls,    DevOps environment,    Allows attackers to manipulate deployments.
249,Devops pipeline,  Attacker compromises testing environment and pivots to production,    No environment isolation,    DevOps pipeline,    Gains control over production services.
250,Supply chain compromise,  Compromised supplier firmware update,    Unverified third-party firmware,    IoT devices,    Devices hijacked by attackers after updates.
251,Supply chain compromise,  Malicious code embedded in software package,    Lack of supplier vetting,    Software supply chain,    Compromises customer systems.
252,Supply chain compromise,  Third-party API vulnerability exploited,    No security assessment of third-party APIs,    Supply chain application,    Exposes sensitive business data.
253,Supply chain compromise,  Supplier network intrusion spreads malware,    Weak supplier network security,    Supply chain network,    Disrupts operations of interconnected systems.
254,Supply chain compromise,  Compromised developer certificate used by supplier,    No certificate verification,    Supply chain software,    Installs malicious software on end-user devices.
255,Supply chain compromise,  Attacker intercepts hardware delivery,    Lack of physical supply chain security,    Hardware shipment,"    Hardware tampered with, embedding malicious components."
256,Supply chain compromise,  Supplier ships outdated software,    No software version validation,    Enterprise IT systems,    Deploys vulnerable applications in production.
257,Supply chain compromise,  Attacker compromises supplier's cloud infrastructure,    Insecure cloud configurations,    Cloud-hosted services,    Gains access to customer data stored in supplier's environment.
258,Supply chain compromise,  Untrusted supplier employee adds backdoor,    Inadequate supplier employee background checks,    Software development,    Adds malicious code during the build process.
259,Supply chain compromise,  Counterfeit hardware parts introduced,    No supply chain verification process,    Critical infrastructure,"    Installs defective components, leading to system failures."
260,Supply chain compromise,  Attacker modifies supplier's source code repository,    No source code monitoring,    Software supply chain,    Deploys altered and malicious code.
261,Supply chain compromise,  Supply chain vendor uses outdated cryptographic protocols,    No encryption standards enforcement,    Communication systems,    Weakens data security in transit.
262,Supply chain compromise,  Third-party contractor exploits weak authentication,    Lack of identity management,    Supply chain vendor system,    Gains unauthorized access to critical systems.
263,Supply chain compromise,  Supplier's compromised email account used in phishing campaign,    Lack of email security,    Communication network,    Spreads malware to multiple partners.
264,Supply chain compromise,  Malicious update from compromised supplier server,    No server integrity monitoring,    Software supply chain,    Installs malware during update.
265,Supply chain compromise,  Unvetted subcontractor introduces vulnerability,    Lack of vetting for subcontractors,    Supply chain services,    Leads to security breaches through outsourced operations.
266,Supply chain compromise,  Insider at supplier alters product designs,    No insider threat detection,    Hardware supply chain,    Delivers compromised hardware components.
267,Supply chain compromise,  Supplier's stolen credentials used to access enterprise network,    No multi-factor authentication,    Corporate IT systems,    Enables unauthorized access to enterprise data.
268,Supply chain compromise,  Compromised third-party logistics provider,    Lack of logistics security assessment,    Shipment systems,    Tampering with deliveries and unauthorized data extraction.
269,Supply chain compromise,  Attacker manipulates supplier product configuration,    No configuration validation process,    Manufacturing systems,    Results in faulty or insecure products.
270,Supply chain compromise,  Fake supplier credentials used to access distribution network,    Lack of credential verification,    Supply chain distribution,    Hijacks product shipments.
271,Supply chain compromise,  Supplier software license abuse,    Lack of licensing enforcement,    Production systems,"    Uses outdated or unlicensed software, increasing vulnerability."
272,Supply chain compromise,  Unverified third-party software in open-source repository,    Lack of source validation,    Software development,    Injects malicious dependencies into the software.
273,Supply chain compromise,  Supplier introduces outdated patches,    Lack of patch validation,    IT infrastructure,    Deploys vulnerable systems with outdated security patches.
274,Supply chain compromise,  Compromised supplier IoT devices introduced into production,    No IoT supply chain security,    Production systems,    Introduces compromised devices.
